"Date","High price","Low price","Closing price"
"2022-08-25","2155.26","2135.38","2150.48"
"2022-08-26","2158.03","2116.14","2117.13"
"2022-08-29","2092.51","2070.52","2081.78"
"2022-08-30","2109.25","2073.74","2078.11"
"2022-08-31","2086.32","2062.99","2067.77"
"2022-09-01","2052.98","2008.92","2008.92"
"2022-09-02","2052.24","2014.98","2051.66"
"2022-09-05","2042.17","2010.50","2039.14"
"2022-09-06","2058.21","2018.07","2036.11"
"2022-09-07","2038.59","2012.02","2032.88"
"2022-09-08","2056.26","2020.21","2053.62"
"2022-09-09","2094.08","2059.32","2088.42"
"2022-09-12","2128.09","2092.16","2123.65"
"2022-09-13","2137.58","2082.43","2082.43"
"2022-09-14","2085.99","2052.54","2060.94"
"2022-09-15","2068.18","2037.25","2040.04"
"2022-09-16","2021.78","1996.32","1996.32"
"2022-09-19","1993.52","1963.94","1981.64"
"2022-09-20","2000.27","1950.33","1952.11"
"2022-09-21","1979.09","1940.89","1976.64"
"2022-09-22","1966.15","1930.10","1930.95"
"2022-09-23","1935.14","1879.53","1906.97"
"2022-09-26","1916.14","1895.81","1902.38"
"2022-09-27","1928.04","1908.08","1914.52"
"2022-09-28","1931.26","1875.32","1930.30"
"2022-09-29","1916.25","1879.88","1887.39"
"2022-10-04","2004.06","1963.24","2003.88"
"2022-10-05","2004.73","1980.28","1986.46"
"2022-10-06","2007.93","1977.02","1984.15"
"2022-10-07","1979.14","1944.21","1944.46"
"2022-10-10","1960.35","1924.10","1934.36"
"2022-10-11","1939.14","1916.56","1931.70"
"2022-10-12","1949.86","1927.73","1938.93"
